INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,IDADE,HOMEKIDS,YOJ,SALARIO,CONTA_CLI,HOME_VAL,CASADO,SEX,EDUCATION,JOB,TRAVTIME,USO_PROD,VALOR_SOLICITADO,TIF,TIPO_PROD,PROD_ALTO_VALOR,OLDCLAIM,CLM_FREQ,TRAN_SUSP,TEMPO_CLIENTE,TEMPO_VIDA_PROD,URBANICITY
16,0,0,0,55,0,11,59162.320160269,No,180231.989850855,Yes,M,Ensino Superior,Gerente,24.6950351514836,Comercial,17600,7,Renda Fixa,yes,5028,2,Yes,3,9,Urbano
17,1,1267,0,53,0,11,130794.574171295,No,0,No,M,PhD, ,63.8386100070406,Comercial,28340,6,Tesouro Direto,yes,0,0,No,3,10,Urbano
19,1,2920.16731997648,0,45,0,0,0,No,106859.369854778,Yes,F,Ensino Fundamental,Do Lar,48.3601914663597,Pessoal,6000,1,Renda Variavel,no,0,0,No,3,5,Urbano
20,0,0,0,39,3,12,51884.1112777599,Yes,180950.834722593,No,F,Ensino Superior,Trabalho Administrativo,43.1102886241844,Pessoal,10590,6,Renda Variavel,no,0,0,No,0,13,Rural
22,0,0,0,42,0,11,59944.8376931155,No,192207.436453624,Yes,M,Mestrado,Advogado,42.3853886427293,Pessoal,14190,6,Poupanca,no,0,0,No,0,16,Urbano
23,0,0,0,34,3,13,34019.4503713687,No,91875.186310123,Yes,F,Mestrado,Advogado,27.3846685641318,Pessoal,8300,7,Renda Variavel,no,0,0,No,0,20,Urbano
24,0,0,0,31,2,12,18902.5024529482,No,93797.3890531038,Yes,F,Ensino Fundamental,Trabalho Administrativo,47.559634551196,Pessoal,17330,4,Poupanca,no,0,0,No,0,7,Urbano
25,1,6857,0,28,1,13,44077.2889715424,No,170597.804597897,Yes,F,Ensino Medio,Trabalho Manual,29.4802440403466,Comercial,8710,6,Renda Variavel,no,8935,2,No,0,1,Urbano
26,1,3627,0,43,0,13,37214.2447896757,No, ,Yes,M,Ensino Fundamental,Trabalho Manual,52.3941081915219,Comercial,26560,1,Tesouro Direto,yes,0,0,No,3,1,Urbano
27,0,0,0,48,0,14,96274.0197103485,No,282904.419699317,Yes,F,Mestrado,Advogado,36.1809266975127,Pessoal,11130,6,Renda Variavel,no,8250,1,No,5,14,Urbano
28,0,0,0,47,0,11,46281.0035983954,No,0,No,F,Ensino Fundamental,Trabalho Manual,29.0128528524195,Pessoal,19700,10,Poupanca,no,0,0,No,1,5,Urbano
29,0,0,2,44,2,0,0,No,82343.5475047809,Yes,F,Ensino Medio,Do Lar,8.07327522346133,Pessoal,5900,6,Renda Variavel,no,3338,3,No,0,11,Urbano
32,0,0,0,33,1,13,79606.2444457661,No,225962.483214082,Yes,F,Ensino Superior,Profissional,27.0005483574519,Pessoal,16830,9,Renda Variavel,no,0,0,No,2,15,Rural
33,1,4486,0,32,1,9,31274.7235220485,No,118160.478604322,Yes,F,Ensino Medio,Trabalho Administrativo,26.3929608324561,Pessoal,10030,1,Renda Variavel,no,0,0,No,0,1,Urbano
34,0,0,1,44,2,17,45488.1462525799,No,219378.058664497,Yes,M,Ensino Superior,Gerente,15.8395488290133,Pessoal,22090,17,Poupanca,no,0,0,No,0,12,Urbano
35,0,0,0,35,0,8,72192.6668969611,No,0,No,F,Ensino Superior,Trabalho Administrativo,25.9873128367113,Pessoal,12220,6,Renda Variavel,no,0,0,No,3,12,Urbano
36,0,0,0,40,2,0, ,No,98777.4204931832,Yes,F,Mestrado,Do Lar,15.1094765023643,Pessoal,14130,6,Renda Variavel,no,38127,2,Yes,4,12,Rural
38,0,0,0,49,0,5,49243.568639066,No,163444.486685577,Yes,M,Ensino Superior,Trabalho Administrativo,30.1301199111812,Pessoal,15880,1,Poupanca,no,0,0,No,1,1,Urbano
40,0,0,0,52,0,8,51277.5289309518,No,230339.538624091,Yes,F,Ensino Superior,Profissional,36.9178213311227,Pessoal,1500,4,Renda Variavel,no,0,0,No,1,10,Urbano
41,0,0,0,41,0,7,92842.3546599215,No,286113.480388763,No,M,Mestrado, ,12.3775710497762,Comercial,25810,6,Tesouro Direto,no,1431,2,No,5,15,Urbano
42,0,0,0,39,0,10,35081.4221969296,No,202839.486298967,Yes,M,Ensino Superior,Trabalho Manual,37.8272322450593,Comercial,16640,4,Renda Fixa,yes,0,0,No,0,13,Urbano
43,0,0,0,56,0,0,0,No,63826.5272345361,Yes,F,PhD,Do Lar,64.9990987808541,Pessoal,13220,1,Poupanca,no,0,0,No,0,12,Rural
44,0,0,0,49,0,12,115044.355525483,No,311980.123028547,No,F,PhD,Medico,17.7350823886867,Pessoal,17900,1,Poupanca,no,0,0,No,0,14,Urbano
45,0,0,0,38,0,11,37753.5731293903,No,138822.851139898,Yes,F,Ensino Medio,Trabalho Administrativo,46.6813410861113,Pessoal,12080,1,Renda Variavel,no,0,0,No,2,9,Rural
46,0,0,0,43,2,17,145352.951776005,No,418785.231926351,Yes,F,Mestrado, ,37.8675115208697,Comercial,29450,6,Renda Fixa,no,0,0,No,0,15,Urbano
48,0,0,0,63,0,15,121398.264220481,No,343409.95395192,Yes,F,PhD,Medico,10.1405818737715,Pessoal,16270,1,Renda Variavel,no,0,0,No,0,11,Urbano
49,0,0,0,52,0,0,0,No,87925.391237889,No,F,Ensino Medio,Estudante,48.0740963037295,Comercial,9280,1,Renda Variavel,no,0,0,No,1,6,Rural
50,0,0,0,35,0,7,14508.1363679094,No,0,Yes,M,Ensino Superior,Estudante,22.0422692946705,Comercial,6450,1,Criptomeda,no,0,0,No,0,7,Urbano
51,0,0,0,43,0,13,75337.9405895562,No,270555.334680471,Yes,F,Ensino Superior,Gerente,40.232021247374,Pessoal,23080,1,CDB,no,0,0,No,0,8,Urbano
52,0,0,0,41,0,10,32773.6430659314,No,0,No,F,Ensino Medio,Trabalho Administrativo,43.7766978726787,Pessoal,20120,4,Poupanca,no,0,0,No,0,1,Rural
53,0,0,0,40,0,11,57474.0887154225,No,186417.739494925,Yes,M,Ensino Superior,Trabalho Administrativo,5,Comercial,29270,4,Tesouro Direto,yes,0,0,No,1,5,Urbano
54,0,0,0,31,1,12,26519.9758623494,No,154493.40306137,Yes,M,Ensino Superior,Estudante,62.2563513389371,Comercial,4600,6,Poupanca,yes,0,0,No,2,5,Urbano
55,0,0,0,47,0,8,18444.1633189027,No,0,Yes,F,Ensino Medio,Estudante,34.6785055755734,Comercial,19450,6,Renda Variavel,no,2981,2,No,5, ,Urbano
56,0,0,0,53,0, ,107259.314811121,No,343699.724778567,Yes,M,Mestrado,Profissional,36.155966061601,Pessoal,29230,10,Poupanca,yes,0,0,No,0,15,Urbano
57,0,0,0,39,3,7,34046.3781356261,No,183383.216290869,Yes,F,Ensino Medio,Trabalho Administrativo,33.303156051479,Pessoal,4040,6,Renda Variavel,no,0,0,No,0,5,Rural
58,0,0,0,33,3,14,32364.4614584684,No,152893.722399139,Yes,M,Ensino Fundamental,Trabalho Administrativo,39.9309052239101,Pessoal,12270,18,Poupanca,yes,0,0,No,3,1,Urbano
59,0,0,0,59,0,5,106775.488456465,No, ,No,M,Mestrado,Advogado,10.4866247393933,Pessoal,31930,1,Poupanca,yes,0,0,No,0, ,Urbano
61,1,6100,0,40,0,11,16988.7213530104,No,0,No,M,Ensino Fundamental,Trabalho Manual,20.4500158250404,Comercial,12230,4,Criptomeda,yes,26104,1,Yes,13,6,Urbano
65,1,8840.68356825384,0,44,2,15,16352.0293105013,No,134163.638236303,Yes,F,Ensino Medio,Do Lar,36.7948553924897,Pessoal,10520,1,Renda Variavel,no,7838,1,No,1,1,Urbano
66,0,0,0,56,0,16,44760.1735642332,No,164851.865728639,Yes,M,Ensino Superior,Gerente,30.0833779564841,Pessoal,21770,13,Poupanca,yes,0,0,No,0,6,Urbano
67,1,2117,1,45,1,14,63952.1776635953,No,196367.829886442,Yes,F,Mestrado,Advogado,49.5768946818594,Pessoal,32340,6,Renda Fixa,no,27877,2,Yes,0,13,Urbano
69,0,0,0,48,0, , ,No,252896.307282336,Yes,M,Ensino Superior,Profissional,14.4720299262296,Comercial,28560,13,Tesouro Direto,yes,1554,5,No,1,10,Urbano
70,1,3532,1,44,2, ,24059.721569335,Yes,0,No,M,Ensino Superior,Trabalho Administrativo,24.4301981046087,Pessoal,14220,4,Poupanca,no,0,0,No,0,10,Urbano
71,1,866,0,33,4,12,20821.846302905,No,76022.3885317494,Yes,F,Ensino Medio,Do Lar,45.9077127665424,Pessoal,6880,13,Renda Variavel,no,7896,3,No,0,1,Urbano
72,0,0,0,32,3,14,54968.0611451713,No,146784.128816216,Yes,F,Ensino Medio,Profissional,20.0831502914824,Pessoal,10040,4,Renda Variavel,no,0,0,Yes,0,8,Urbano
73,1,7786,0,34,0,8,14193.6481787688,No,87033.7869788439,No,F,Ensino Fundamental,Trabalho Administrativo,13.3672384885311,Pessoal,2920,4,CDB,no,24767,3,Yes,2,10,Urbano
74,0,0,1,38,4,12,2149.05482185397,No,72888.5986912493,Yes,F,Ensino Fundamental,Do Lar,35.0647633936394,Pessoal,22690,10,Criptomeda,no,0,0,No,2,1,Urbano
77,1,4148,2,43,3,11,137102.734181214,Yes,0,No,F,Mestrado,Gerente,28.8003570087211,Pessoal,19510,1,CDB,no,8890,3,No,0,15,Urbano
78,0,0,0,49,0,9, ,No,0,No,M,PhD, ,30.9890809252928,Comercial,33710,3,Tesouro Direto,no,34351,2,Yes,2,18,Urbano
79,0,0,0,46,0,10,79538.1637723443,No,0,No,F,Ensino Superior,Gerente,12.9201639263024,Pessoal,14050,3,Poupanca,no,0,0,Yes,2,11,Urbano
80,0,0,0,45,1,11,185836.499220534,No,509114.65020752,Yes,F,PhD,Advogado,28.1755455650412,Pessoal,10250,1,Renda Variavel,no,4307,3,No,6,20,Urbano
81,0,0,0,46,0,14, ,No,397660.523935887,No,M,Mestrado, ,22.0666302130723,Comercial,33320,4,Tesouro Direto,yes,0,0,Yes,1,12,Urbano
82,0,0,0,45,0,11,61931.0265363942,No,213530.304257351,Yes,M,Mestrado, ,30.0851995708787,Comercial,10910,13,Criptomeda,yes,25106,2,No,0, ,Urbano
84,0,0,0,63,0,9,74426.1943871395,No,0,No,F,PhD,Medico,11.1530147170735,Pessoal,27600,1,Renda Variavel,no,0,0,No,0,18,Urbano
85,0,0,0,44,0,9,74721.8442012434,No,231033.884891031,Yes,F,Ensino Superior,Profissional,8.96594010802365,Pessoal,23640,6,Poupanca,no,0,0,No,0,1,Urbano
86,1,2371,1,45,2,11,102393.179879308,Yes,0,No,M,Ensino Superior,Profissional,24.8679698404235,Pessoal,1500,1,Poupanca,yes,0,0,No,2,11,Urbano
88,0,0,0,48,0,0,0,No,98919.6031873424,Yes,F,Ensino Medio,Do Lar,49.732571233057,Pessoal,8660,3,CDB,no,8363,2,No,3, ,Urbano
89,1,4804,1,37,2,12, ,No,205211.453883869,Yes,F,Ensino Superior,Trabalho Manual,43.0202791023368,Comercial,5200,1,Renda Variavel,no,2718,1,No,1,3,Urbano
90,0,0,0,35,0, ,29370.7230609417,No,0,No,F,Ensino Fundamental,Trabalho Administrativo,48.5197334805645,Pessoal,4860,10,CDB,no,0,0,No,0,1,Urbano
91,1,1354,0,48,0,12,31773.1039614925,No,165090.296410735,Yes,M,Ensino Medio,Trabalho Administrativo,14.4593232822555,Comercial,9640,13,Criptomeda,no,1212,1,No,4,1,Urbano
93,0,0,0,49,0,0,0,No,159389.127581842,Yes,F,Mestrado,Profissional,41.923201295352,Pessoal,6400,10,Renda Variavel,no,9115,1,No,6,14,Urbano
94,0,0,0,44,2,15,139330.445962757,Yes,316899.60601372,No,F,Ensino Medio,Trabalho Manual,35.266034965678,Comercial,22050,10,CDB,no,0,0,No,0,1,Rural
95,0,0,0,50,0,13,163295.639854734,No,447616.286875787,No,F,PhD,Advogado,42.1391732513909,Pessoal,22830,1,Poupanca,no,0,0,No,0,14,Rural
96,0,0,0,30,1,10,17454.5726638191,Yes,140978.265075138,No,F,Ensino Fundamental,Trabalho Manual,49.5260451833499,Pessoal,12380,13,Poupanca,no,0,0,No,0,6,Rural
97,0,0,0,54,0, ,71006.605003066,No,240833.254216038,Yes,M,Ensino Superior,Gerente,60.9040574771959,Pessoal,14000,6,Poupanca,no,0,0,No,0,11,Urbano
99,1,2425,0,53,0,6,38035.5834729644,No,153380.552326357,Yes,F,Ensino Medio,Trabalho Manual,32.1802850477982,Comercial,13140,1,Renda Variavel,no,0,0,No,4,1,Urbano
100,0,0,0,53,0,13,41199.0690428593,No,150932.658727922,No,F,Ensino Superior,Gerente,21.4919013214457,Pessoal,15360,1,Renda Variavel,no,0,0,No,0,8,Urbano
101,0,0,0,29,1,10,38042.3739880995,Yes,202967.20333361,No,M,Ensino Medio,Profissional,14.8735801342469,Pessoal,15160,6,Poupanca,no,0,0,No,0,1,Urbano
102,0,0,0,58,0,11,91222.9194941183,No,0,No,M,Mestrado,Advogado,23.098263571485,Pessoal,10620,6,Criptomeda,no,0,0,No,0, ,Urbano
103,0,0,0,55,0,7,45787.3631006525,No,173196.041246445,Yes,F,Mestrado,Advogado,5,Pessoal,19380,6,Poupanca,no,0,0,No,0,13,Urbano
104,0,0,0,55,0, ,84963.8474110805,No,227090.564536348,Yes,M,Ensino Superior,Trabalho Manual,20.784610812754,Comercial,5760,1,Criptomeda,yes,969,2,No,6,11,Urbano
105,0,0,0,56,0,8,38240.1567208355,No,190674.982385577,Yes,F,Ensino Medio,Trabalho Administrativo,28.4820287852658,Pessoal,16220,4,Renda Variavel,no,0,0,No,0, ,Rural
108,0,0,0,34,0,11,51565.4608053037,No,0,No,M,Mestrado,Advogado,36.4510457520009,Pessoal,18110,1,Renda Fixa,yes,759,2,No,3,15,Urbano
109,1,5711,0,34,3,0,0,No,66358.2991330047,Yes,F,Ensino Medio,Do Lar,24.5200012643388,Pessoal,11740,9,Renda Variavel,no,1800,2,No,2,1,Urbano
110,0,0,0,36,0,11,105384.266679273,No,267508.962351418,Yes,M,Mestrado,Profissional,23.9167612035205,Pessoal,13800,7,Poupanca,yes,31695,3,Yes,4,17,Urbano
111,1,13105.3276263444,0,41,0,10,66265.3521011129,No,159276.147040342,Yes,M,Mestrado,Advogado,58.5474555205261,Pessoal,12230,4,Poupanca,yes,0,0,No,1,9,Urbano
112,1,4061,0,46,0,7, ,No, ,No,M,Mestrado, ,16.5223268292437,Comercial,23350,13,Tesouro Direto,yes,4678,3,No,6,17,Urbano
114,0,0,0,42,0,9,76225.7822108368,No,217920.489508498,Yes,M,Ensino Superior,Trabalho Manual,17.9620414685764,Comercial,23390,13,Tesouro Direto,yes,0,0,No,0,14,Urbano
115,0,0,1,38,3,16,7527.93195930912,No,113808.761673056,Yes,M,Ensino Fundamental,Trabalho Administrativo,25.5272974001181,Pessoal,8080,1,Criptomeda,yes,0,0,No,0,8,Rural
116,1,7838,0,33,4,0,0,Yes,0,No,M,Ensino Medio,Estudante,13.6628595704618,Comercial,15090,1,Poupanca,yes,1631,1,No,2,5,Urbano
117,1,3660,0,37,0,0, ,No,73889.9762381871,Yes,F,Ensino Superior,Estudante,48.143336353992,Comercial,12850,7,Renda Variavel,no,0,0,No,3,6,Urbano
118,0,0,1,42,1,9,32796.5708784234,No,160661.401224044,Yes,F,Mestrado,Advogado,63.2193772382274,Pessoal,21690,1,Poupanca,no,0,0,No,2,14,Urbano
119,1,5125,0,47,0,11,44705.2128117613,No,217885.094801663,Yes,F,Ensino Superior,Profissional,50.0889763039761,Pessoal,12840,1,Renda Variavel,no,1533,2,No,0,10,Urbano
121,0,0,0,52,0,9,68992.0052783158,No,216986.075695576,No,F,Ensino Superior,Trabalho Manual,35.6494128049056,Comercial,15120,1,Poupanca,no,0,0,No,3,10,Rural
122,0,0,0,43,0,11,132560.850245166,No,314432.757531488,No,M,Mestrado,Profissional,8.18348770213323,Comercial,30150,16,Tesouro Direto,no,12294,1,No,0,1,Urbano
124,0,0,0,66,1,17,96829.7241132724,No,325825.727795595,Yes,M,Mestrado,Profissional,23.4166238614563,Pessoal,11180,7,Renda Variavel,no,0,0,No,0,16,Urbano
127,1,2143,0,52,0,7,64013.8163159108,No,244862.522147894,Yes,M,Ensino Fundamental,Trabalho Manual,32.7172344451336,Comercial,7900,4,Criptomeda,yes,8882,3,No,1,5,Urbano
130,0,0,1,38,1,7, ,No,0,Yes,F,Ensino Medio,Estudante,40.1756443227596,Pessoal,7050,4,CDB,no,0,0,No,0,10,Rural
132,0,0,0,47,0,14, ,No,276240.849413135,Yes,M,Ensino Superior,Gerente,47.8307884163705,Pessoal,21320,1,Renda Fixa,yes,0,0,No,0,13,Urbano
133,0,0,0,37,0,12,123519.640093649,No,383730.716675629,Yes,M,Ensino Superior,Trabalho Manual,14.3643913639926,Comercial,17550,1,Renda Fixa,no,0,0,No,0, ,Urbano
134,0,0,0,47,0,13,45257.2073175956,No,160051.129735585,Yes,M,Ensino Superior,Trabalho Administrativo,32.6685483341211,Comercial,29210,6,Tesouro Direto,yes,0,0,No,0, ,Urbano
136,0,0,1,61,2,17,41857.2030907047,No,169015.156786666,Yes,F,Mestrado,Gerente,34.8615822232951,Pessoal,20870,1,CDB,no,0,0,No,0,21,Urbano
137,1,2114,0,41,1,8,126468.265006506,Yes,0,No,F,Mestrado,Gerente,34.4945629442751,Comercial,32690,3,Criptomeda,no,0,0,No,2,18,Urbano
138,0,0,3,40,3,9,75516.3361046341,No,247672.797471118,Yes,F,Ensino Medio,Trabalho Manual,52.8791277855737,Comercial,13050,5,CDB,no,0,0,Yes,0,6,Rural
139,0,0,0,52,0,16,76953.9022711721,No,249289.566050386,No,M,Ensino Superior,Profissional,43.7195412138582,Pessoal,19540,6,Poupanca,yes,0,0,Yes,0,11,Urbano
140,0,0,0,58,1,8,150352.462173504,No,421665.241970475,Yes,F,Mestrado,Gerente,21.0126592357288,Pessoal,24240,6,Criptomeda,no,0,0,No,0,17,Urbano
142,1,8671,1,38,1,12,37579.7116479978,No,173495.322104186,Yes,F,Ensino Fundamental,Trabalho Administrativo,35.8181303057574,Pessoal,5260,7,Renda Variavel,no,867,2,No,0,1,Urbano
143,1,6287,0,41,2,15,23344.1670564015,No,147172.155269212,Yes,M,Ensino Medio,Trabalho Manual,9.92626960980526,Pessoal,7930,1,Criptomeda,no,0,0,No,1,1,Urbano
144,0,0,0,37,0,16,43289.7913023484,No,158771.372378285,Yes,F,Ensino Superior,Trabalho Manual,29.4550681248901,Pessoal,23640,1,Renda Variavel,no,0,0,No,0,10,Urbano
145,0,0,0,48,0,10,48737.2122512749,No,220263.78483938,Yes,M,Ensino Superior,Gerente,23.8880023356288,Pessoal,11220,9,Criptomeda,yes,0,0,No,1,1,Urbano
146,0,0,0,47,0,12,64259.482558722,No,202031.38887309,Yes,M,Ensino Medio,Trabalho Administrativo,25.5742036550828,Pessoal,25100,18,Poupanca,no,9526,4,No,3,9,Urbano
149,0,0,0,41,0,6,12541.0772594846,No,0,No,M,Ensino Fundamental,Trabalho Administrativo,5,Pessoal,7500,1,Poupanca,yes,0,0,No,0,1,Rural
150,0,0,0,47,0,12,104270.511104313,No,265153.267009007,Yes,M,Mestrado, ,40.1987282815182,Comercial,36120,4,Tesouro Direto,yes,0,0,No,0,11,Urbano
152,0,0,0,44,1, ,67277.9576228925,No,220555.740085132,Yes,F,Mestrado,Advogado,49.3576651418648,Pessoal,20210,1,Poupanca,no,0,0,No,0,16,Rural
153,0,0,0,46,0,10,104990.111427535,No,306539.647645801,No,F,Ensino Superior,Profissional,39.941948766585,Pessoal,16080,13,Renda Variavel,no,0,0,No,0,7,Urbano
154,0,0,0,49,0,6,89947.9948379964,No,0,No,F,Ensino Superior,Profissional,36.9214354025722,Pessoal,18160,7,Renda Variavel,no,0,0,No,4,9,Urbano
155,0,0,0,33,1,12,111426.946597974,No,321483.062074667,Yes,F,Mestrado, ,34.8686957534672,Comercial,28180,1,Renda Fixa,no,0,0,No,3,4,Urbano
158,1,1807,1,43,2,11,76158.644992453,Yes,0,No,F,Ensino Superior,Profissional,52.4230608361424,Pessoal,19750,4,Renda Variavel,no,0,0,Yes,0, ,Urbano
159,0,0,0,62,0,6,107734.350549481,No,0,No,F,PhD,Advogado,53.9057860701344,Pessoal,18470,3,Renda Variavel,no,0,0,No,0,15,Urbano
160,1,10593.9466329068,0,42,0,0,0,No, ,No,M,Ensino Fundamental,Estudante,46.9328403871992,Comercial,5700,11,Criptomeda,yes,0,0,No,5,1,Urbano
161,0,0,0,36,2,12,25282.1759703789,Yes,0,No,F,Ensino Medio,Trabalho Administrativo,37.6427634527658,Pessoal,11160,1,Renda Variavel,no,0,0,No,0,1,Rural
162,0,0,0,47,0,11,18548.7365278328,No,116136.278359775,Yes,M,Mestrado,Advogado,23.9862781066952,Pessoal,12800,7,Poupanca,no,0,0,No,0,14,Urbano
163,0,0,0,50,0,14, ,No,147191.336245634,Yes,M,Ensino Medio,Trabalho Administrativo,10.953297563688,Comercial,17300,13,Renda Fixa,yes,0,0,No,0,7,Urbano
164,0,0,0,51,0,9,50165.6136950499,No,187296.864338247,No,M,Ensino Medio,Trabalho Manual,32.441009838385,Comercial,11620,1,Criptomeda,no,50701,3,Yes,0,1,Urbano
165,0,0,0,46,0,8,73871.5757849306,No,245877.501265338,Yes,F,Mestrado,Advogado,42.8027384843471,Pessoal,20240,4,CDB,no,0,0,No,0,16,Rural
166,0,0,0,50,0,14,73343.0373268599,No,254599.825237731,Yes,F,Ensino Medio,Gerente,59.8255100150564,Pessoal,20010,1,Poupanca,no,4179,2,No,4,8,Urbano
167,1,6158,0,43,2,15,49848.958167982,Yes,0,No,F,Mestrado,Advogado,35.0209705588995,Pessoal,13130,1,Renda Variavel,no,3622,3,No,4,20,Urbano
168,1,4887,1,39,1,16,12054.3696717873,No,0,Yes,F,Ensino Fundamental,Estudante,28.0662432090372,Comercial,15760,4,Criptomeda,no,1738,2,Yes,4,1,Urbano
169,0,0,0,43,3,14,48184.2633746684,No,209188.2651529,Yes,F,Ensino Medio,Trabalho Manual,50.4999041860832,Comercial,14530,12,CDB,no,6891,2,No,5,1,Urbano
170,1,5147,0,60,3,18,78935.9234655557,No,235670.331808587,Yes,F,Mestrado,Advogado,39.8732996279351,Pessoal,20350,6,Renda Variavel,no,0,0,No,0,15,Urbano
171,0,0,0,55,0,0,0,No,0,No,M,Ensino Fundamental,Estudante,33.1479079622941,Pessoal,7000,4,Criptomeda,no,0,0,No,0,1,Rural
172,0,0,0,40,0,10,78913.7263421776,No,229054.532481335,No,F,Ensino Superior,Gerente,36.4055913836085,Pessoal,5500,10,Renda Variavel,no,6803,2,No,6,10,Urbano
173,0,0,0,39,0,6,77125.0200160856,No,210839.931852181,Yes,F,Ensino Superior,Trabalho Administrativo,48.9625693374359,Pessoal,9570,7,CDB,no,0,0,No,1,13,Urbano
175,0,0,0,38,0,14,25835.167345254,No,109685.391845781,Yes,M,Ensino Medio,Trabalho Administrativo,28.713982504573,Pessoal,8490,6,Criptomeda,yes,0,0,No,1,12,Urbano
176,0,0,0,42,0,12,47659.9804125772,No,180205.541404231,Yes,M,Mestrado,Profissional,31.2992501548325,Pessoal,11940,7,Criptomeda,yes,974,2,No,6,18,Urbano
177,0,0,0,42,0,10,123142.931587738,No,306368.262589866,No,F,Mestrado,Gerente,16.1923479129187,Pessoal,24930,4,Poupanca,no,0,0,No,3,14,Urbano
178,0,0,0,49,0,8,22059.2785399754,No,123924.361885358,Yes,F,Ensino Fundamental,Trabalho Administrativo,24.2988889046733,Comercial,21990,11,Criptomeda,no,0,0,No,1,1,Urbano
179,0,0,1,36,1,12,50749.5356019323,Yes,0,No,F,Mestrado,Gerente,25.9345570964399,Pessoal,10170,7,Renda Variavel,no,5877,3,No,7,14,Urbano
180,0,0,0,34,1,10,23570.5230208237,Yes,0,No,M,Ensino Medio,Trabalho Administrativo,35.1476840045881,Comercial,12180,7,Criptomeda,yes,0,0,No,0,7,Urbano
181,0,0,0,49,0,0,0,No,79912.8228743725,Yes,F,PhD,Do Lar,28.5151850177191,Pessoal,18110,7,Renda Variavel,no,0,0,No,1,1,Urbano
182,0,0,0,52,0,12,35630.7552212082,No,155971.688041009,Yes,M,Ensino Medio,Trabalho Administrativo,39.1160232154553,Pessoal,6040,10,Poupanca,yes,0,0,No,0,1,Urbano
183,0,0,0,50,0,11,129234.348930479,No,0,No,M,PhD,Medico,37.1680983042891,Pessoal,21200,4,Renda Fixa,yes,0,0,No,0, ,Urbano
184,0,0,0,53,0,12, ,No,0,No,F,Ensino Fundamental,Trabalho Administrativo,16.3826430680031,Pessoal,11650,10,Renda Variavel,no,6175,1,No,2,7,Urbano
185,0,0,0,55,0,14,55408.8324105396,No,162236.861835798,Yes,M,Ensino Superior,Trabalho Manual,44.877796861178,Comercial,27890,4,Tesouro Direto,no,0,0,No,0,14,Rural
187,0,0,0,40,4,15,48066.6573311172,Yes,186025.314776441,No,F,Ensino Superior,Trabalho Administrativo,21.4417650805975,Pessoal,18120,8,Poupanca,no,0,0,No,0,8,Urbano
188,0,0,0,45,2,12,64866.9578739223,No,210630.878640325,Yes,F,Mestrado,Advogado,20.9115336104756,Pessoal,12490,1,Renda Variavel,no,0,0,No,0,10,Urbano
