INDEX,TARGET_FLAG,KIDSDRIV,IDADE,HOMEKIDS,YOJ,SALARIO,CONTA_CLI,HOME_VAL,CASADO,SEX,EDUCATION,JOB,TRAVTIME,USO_PROD,VALOR_SOLICITADO,TIF,TIPO_PROD,PROD_ALTO_VALOR,OLDCLAIM,CLM_FREQ,TRAN_SUSP,TEMPO_CLIENTE,TEMPO_VIDA_PROD,URBANICITY
120, ,0,43,1,0,0,No,70169.54303,Yes,F,Ensino Superior,Do Lar,25.87990597,Pessoal,8350,1,CDB,no,0,0,No,3,7,Urbano
123, ,0,64,0,15,31738.35627,No,197010.1846,Yes,M,Ensino Fundamental,Trabalho Manual,23.28684117,Comercial,14620,6,CDB,no,3994,2,No,0,1,Urbano
125, ,0,60,0,9,125893.4368,No,0,No,M,PhD, ,20.72863219,Comercial,7500,9,Criptomoeda,yes,7278,2,No,4,15,Urbano
126, ,2,35,4,6,154577.4032,Yes,397867.8692,No,F,Ensino Superior,Trabalho Manual,27.22230125,Pessoal,20450,6,CDB,no,4645,1,No,3,1,Urbano
128, ,0,52,0,11,79348.03556,No,270031.5026,Yes,F,Ensino Medio,Gerente,23.43817134,Pessoal,13150,11,CDB,no,0,0,No,2,1,Urbano
129, ,0,56,2,14,192089.0549,No,471700.9688,Yes,M,PhD, ,30.58338429,Comercial,21100,1,Poupanca,yes,0,0,No,0, ,Urbano
131, ,0,55,0,15,108152.2759,No,329756.2063,Yes,F,Mestrado,Gerente,18.28592286,Pessoal,12320,1,CDB,no,0,0,Yes,0,15,Urbano
135, ,0,26,0,8,53244.41283,No,0,No,M,Ensino Superior,Profissional,27.55140242,Comercial,20920,3,Poupanca,yes,6224,1,No,1,8,Urbano
141, ,0,52,0,8,88560.18462,No,244027.732,Yes,M,Mestrado,Advogado,13.84347813,Pessoal,13630,1,Tesouro Direto,no,0,0,No,4,17,Urbano
147, ,0,41,0,12,110386.4044,No,335488.1069,Yes,M,Mestrado, ,21.15953978,Comercial,16640,1,Poupanca,yes,0,0,No,2,14,Urbano
148, ,0,49,0,12,53765.13057,No,0,No,F,Ensino Superior,Profissional,5,Pessoal,12360,4,CDB,no,0,0,No,0,1,Urbano
151, ,0,30,2, ,26226.38648,No,165177.7611,Yes,F,Ensino Medio,Trabalho Administrativo,67.67082561,Pessoal,23610,4,CDB,no,0,0,No,1,1,Rural
156, ,1,34,3,12,29431.47584,No,143149.2032,Yes,F,Ensino Fundamental,Trabalho Administrativo,11.5266529,Pessoal,22560,1,Tesouro Direto,no,0,0,No,1, ,Urbano
157, ,0,44,0,14,44789.51132,No,205463.203,Yes,F,Mestrado, ,5,Comercial,19800,4,Criptomoeda,no,37163,1,No,4,9,Urbano
174, ,0,49,0, ,38325.52827,No,133009.7423,Yes,M,Mestrado,Advogado,5,Pessoal,10230,4,Criptomoeda,yes,0,0,No,0,17,Urbano
186, ,1,40,2,12,35259.62782,No,141166.6815,Yes,F,Ensino Fundamental,Trabalho Manual,30.38844846,Pessoal,9740,7,CDB,no,2235,1,No,8,1,Urbano
193, ,0,26,3,9,33283.09242,No,104322.5152,Yes,M,Ensino Superior,Trabalho Manual,37.1604757,Comercial,7690,10,Criptomoeda,no,0,0,No,2,16,Urbano
195, ,0,46,0,7,26696.63089,No,134862.5077,Yes,F,Ensino Fundamental,Trabalho Administrativo,43.1348567,Pessoal,15080,6,CDB,no,0,0,Yes,4,1,Urbano
212, ,0,50,0,7,73307.59782,No,240645.0697,No,M,Mestrado,Advogado,37.57215768,Pessoal,18720,7,Poupanca,no,0,0,No,2,19,Rural
213, ,0,62,0,12,22181.48424,No,185458.8394,No,F,Ensino Medio,Trabalho Administrativo,23.82346578,Pessoal,17880,7,Renda Fixa,no,9873,3,No,5,1,Urbano
217, ,0,53,1,13,52759.21505,No,164905.9183,Yes,F,Ensino Superior,Profissional,41.10893269,Pessoal,24160,9,Tesouro Direto,no,0,0,No,0,13,Rural
223, ,0,44,0,4,146267.474,No,357184.2644,Yes,M,Mestrado, ,51.09300586,Comercial,6720,4,Criptomoeda,no,0,0,No,0,10,Urbano
226, ,0,48,1,10,84629.34879,No,308848.4805,Yes,F,Ensino Superior,Gerente,34.62315726,Pessoal,15060,7,CDB,no,9592,1,No,0,10,Urbano
228, ,1,45,2,17,111268.3117,No,288070.9657,Yes,F,Mestrado,Advogado,46.39943249,Pessoal,24600,1,Poupanca,no,28026,2,Yes,2,10,Urbano
230, ,0,41,0,10,97700.0411,No,0,No,F,Ensino Superior,Do Lar,42.86713009,Pessoal,26250,8,Criptomoeda,no,0,0,No,0,6,Rural
241, ,0,32,3,13,30955.01786,Yes,111255.5434,No,F,Ensino Medio,Trabalho Administrativo,9.269535821,Pessoal,7800,4,CDB,no,0,0,Yes,0,8,Urbano
243, ,0,49,1,15,89611.6008,No,261945.5252,Yes,M,Mestrado,Profissional,23.21548483,Comercial,6400,10,Criptomoeda,yes,0,0,No,0,23,Urbano
249, ,0,41,0,12,80718.25714,No,0,No,F,Ensino Superior,Profissional,29.47327834,Pessoal,26480,11,Renda Fixa,no,8623,3,No,5,8,Urbano
281, ,1,44,2,15,46140.2083,No,169083.9354,Yes,M,Ensino Medio,Trabalho Manual,29.46993411,Comercial,10510,1,Criptomoeda,no,4276,3,No,7,1,Urbano
288, ,0,47,0,12,80104.66242,No,0,No,M,Mestrado,Gerente,28.52807815,Pessoal,14210,6,Tesouro Direto,yes,0,0,No,1,12,Urbano
294, ,2,41,2,8, ,No,0,Yes,M,Ensino Fundamental,Estudante,42.54539112,Comercial,5850,1,Criptomoeda,yes,9419,1,No,5,6,Rural
295, ,0,41,2,10,78675.25896,Yes,265450.0609,No,M,Ensino Superior,Trabalho Manual,33.02673952,Comercial,13470,11,Tesouro Direto,yes,0,0,No,0,3,Urbano
300, ,0,50,0,10,219023.5936,No,0,No,M,PhD, ,27.41019813,Comercial,23370,4,Renda Variavel,yes,4117,2,No,4,20,Urbano
302, ,0,51,0,10,55572.99357,No,0,No,F,Mestrado,Advogado,17.90022342,Pessoal,12160,1,CDB,no,9768,1,No,6,14,Urbano
303, ,0,53,0,8,61862.28372,No,245884.6624,Yes,M,PhD,Medico,32.95274016,Pessoal,11270,1,Criptomoeda,yes,0,0,No,0,14,Urbano
308, ,0,32,3,14,21943.94258,No,128775.8414,Yes,F,Ensino Fundamental,Trabalho Manual,33.65411085,Pessoal,7270,1,CDB,no,0,0,Yes,1,1,Urbano
319, ,0,48,0,14,42008.36144,No,176218.871,Yes,F,Mestrado,Advogado,22.75897684,Pessoal,10000,4,CDB,no,0,0,No,0,14,Rural
320, ,0,54,0,8,90149.23034,No,261568.8542,Yes,F,Mestrado,Gerente,16.54832888,Pessoal,15910,4,CDB,no,0,0,No,1,10,Urbano
324, ,0,55,0,15,75248.86898,No,0,No,M,Mestrado, ,5,Comercial,17020,1,Poupanca,yes,1316,2,No,1,21,Urbano
331, ,0,51,0,11,117016.2252,No,0,No,F,Mestrado,Gerente,23.253751,Pessoal,20320,4,Tesouro Direto,no,1197,2,No,6,8,Urbano
343, ,0,47,0,7,76461.86176,No,229333.851,Yes,M,Ensino Superior,Profissional,28.77198674,Pessoal,13850,6,Tesouro Direto,yes,0,0,No,0,7,Urbano
347, ,0,44,1, ,0,No,70461.49732,Yes,F,Mestrado,Do Lar,18.89737727,Pessoal,2640,4,Renda Fixa,no,2219,2,No,1,13,Urbano
348, ,0,36,0,13,20891.37315,No,134406.1056,Yes,F,Ensino Medio,Trabalho Manual,39.46701804,Comercial,5100,1,CDB,no,2949,2,No,9,7,Urbano
350, ,0,35,2,10,17492.76645,Yes,102902.3587,No,F,Ensino Fundamental,Trabalho Administrativo,51.79297955,Pessoal,19340,9,Tesouro Direto,no,5658,3,No,7,1,Urbano
357, ,0,43,0,11,39848.4212,No,136303.9965,No,F,Mestrado,Advogado,44.68303135,Pessoal,18060,8,CDB,no,0,0,No,0,15,Urbano
358, ,0,42,1,12,117978.0655,Yes,0,No,F,Ensino Superior,Trabalho Manual,16.84735434,Comercial,28700,1,CDB,no,0,0,No,0,7,Rural
360, ,0,56,0,12,62483.49945,No, ,Yes,F,Ensino Superior,Gerente,18.18397598,Pessoal,20940,6,Tesouro Direto,no,0,0,No,0,8,Urbano
366, ,0,39,0,14,73366.56803,No,0,No,M,Ensino Superior,Profissional,35.66551115,Pessoal,12740,6,Tesouro Direto,yes,3320,1,No,4,7,Urbano
367, ,0,32,4,15,4478.341531,Yes,0,No,F,Ensino Fundamental,Estudante,7.472455404,Pessoal,6780,4,CDB,no,7181,3,No,5,8,Urbano
368, ,0,44,1,9,5952.492358,No,0,Yes,M,Ensino Superior,Estudante,21.88720214,Comercial,6500,4,Criptomoeda,yes,0,0,No,0,10,Urbano
376, ,0,44,1,11,75045.62077,No,244818.8988,Yes,M,Ensino Medio,Trabalho Manual,56.33810893,Comercial,9000,4,Criptomoeda,yes,3288,3,No,6,10,Urbano
380, ,0,38,0,10,75431.95723,No,0,No,F,Ensino Superior,Gerente,50.69083062,Pessoal,16260,1,CDB,no,8035,3,No,0,13,Urbano
388, ,0,35,3,13,64871.66587,No,187353.8816,Yes,F,Ensino Fundamental,Trabalho Administrativo,43.53995684,Pessoal,11490,1,CDB,no,0,0,No,3,8,Urbano
396, ,0,55,0,14,66964.19737,No,0,No,M,Mestrado,Advogado,46.87703564,Pessoal,13700,6,Tesouro Direto,yes,6183,3,No,3,18,Urbano
398, ,0,42,2,11,34210.31233,No,186734.2613,Yes,M,Ensino Medio,Trabalho Administrativo,34.0324406,Pessoal,12880,6,Tesouro Direto,yes,1830,1,No,0,1,Urbano
403, ,1,43,2,11,24123.70335,No,157794.1232,Yes,F,Ensino Fundamental,Trabalho Manual,39.56736707,Pessoal,8140,7,CDB,no,0,0,No,0,1,Rural
410, ,0,44,0,12,39851.86792,No,125283.4101,Yes,F,Ensino Medio,Trabalho Manual,37.40445401,Comercial,7410,1,CDB,no,3704,2,No,0,6,Urbano
412, ,0,51,0,13,65702.14547,No,0,No,F,Mestrado,Advogado,26.82362994,Pessoal,15820,1,CDB,no,7181,2,No,3,1,Urbano
420, ,0,34,1,12,68833.21531,No,183087.4247,Yes,F,Ensino Superior,Trabalho Administrativo,35.36364529,Comercial,21940,4,Criptomoeda,no,1494,2,No,3,9,Urbano
434, ,1,40,2,6,54158.61036,No,180763.7326,Yes,M,Ensino Fundamental,Trabalho Manual,65.47714836,Pessoal,16920,10,Poupanca,yes,0,0,No,1,1,Rural
440, ,0,37,3,17,6216.775779,No,0,Yes,F,Ensino Medio,Estudante,27.49072358,Comercial,22260,10,Criptomoeda,no,0,0,Yes,0,4,Urbano
450, ,0,58,0,14,39707.32138,No,192088.9298,Yes,M,Ensino Fundamental,Trabalho Manual,28.99367236,Comercial,16870,1,Poupanca,yes,3546,1,No,6,6,Urbano
453, ,0,50,0,10,24358.07866,No,128209.884,Yes,M,Ensino Fundamental,Trabalho Manual,11.25792234,Pessoal,17790,3,Poupanca,no,0,0,Yes,0,7,Urbano
464, ,0,46,0,7,106408.5956,No,0,No,F,Mestrado, ,42.37646993,Comercial,24410,6,Criptomoeda,no,6948,1,No,0,18,Urbano
465, ,0,53,0,14,59796.52898,No,178229.9974,Yes,F,PhD,Medico,34.89261327,Pessoal,18070,4,Tesouro Direto,no,0,0,No,0,16,Urbano
466, ,0,63,2,10,52064.1845,No, ,Yes,F,Ensino Medio,Trabalho Manual,16.30753046,Comercial,11770,1,Renda Fixa,no,834,2,No,8,1,Urbano
473, ,0,53,0,7,77012.02905,No,316239.0563,Yes,M,PhD,Medico,21.7396205,Pessoal,21440,1,Poupanca,no,8744,2,No,0,13,Urbano
476, ,0,36,0,11,17084.96161,No,0,Yes,F,Ensino Medio,Estudante,57.94200965,Pessoal,15840,7,Renda Fixa,no,4070,2,No,2,1,Rural
478, ,0,43,0,13,238855.8995,No, ,Yes,M,Mestrado, ,19.49817373,Comercial,29690,11,Renda Variavel,yes,0,0,No,0,22,Urbano
479, ,0,54,0,12,69624.96353,No,271182.6869,Yes,F,Ensino Superior,Gerente,51.02249435,Pessoal,22340,1,CDB,no,3155,1,No,2,12,Urbano
493, ,0,39,3,16,42535.15113,No,189138.5407,Yes,M,Ensino Medio,Trabalho Administrativo,22.10997015,Comercial,19330,4,Poupanca,yes,0,0,No,1,8,Rural
497, ,1,43,2,14,81673.63903,No,233744.2418,Yes,M,Ensino Superior,Gerente,39.27573716,Comercial,34680,1,Renda Variavel,no,0,0,No,1,10,Urbano
503, ,0,51,0,13,34658.46741,No,159187.0594,Yes,M,Ensino Superior,Profissional,30.86973147,Pessoal,15660,1,Tesouro Direto,no,0,0,No,0,11,Rural
504, ,0,42,0,0,0,No,0,No,F,Ensino Medio,Do Lar,5,Pessoal,25540,1,Renda Fixa,no,0,0,No,0,1,Urbano
505, ,0,41,0,6,86227.05116,No,237057.4736,No,M,Mestrado, ,28.17427669,Comercial,19530,9,Poupanca,no,2948,3,No,2,17,Urbano
507, ,0,35,1,12,77126.3488,No,242001.2218,Yes,M,Ensino Medio,Gerente,5,Comercial,11510,10,Criptomoeda,yes,3079,3,No,0,1,Urbano
513, ,0,35,2,0,0,No,0,Yes,F,Ensino Fundamental,Estudante,32.46584088,Pessoal,4810,1,CDB,no,0,0,No,0,6,Urbano
519, ,1,41,3,5,30043.27905,Yes, ,No,M,Ensino Medio,Trabalho Administrativo,22.0951115,Pessoal,16860,4,Poupanca,yes,0,0,No,0,1,Urbano
521, ,0,43,0,14,54931.68374,No,225678.2378,Yes,M,Ensino Medio,Trabalho Administrativo,36.88633555,Comercial,11290,4,Criptomoeda,yes,5076,3,No,5,1,Urbano
522, ,0,42,0,8,94591.18428,No,309643.676,No,M,Ensino Fundamental,Trabalho Manual,20.82167317,Comercial,17470,6,Poupanca,yes,16121,3,Yes,3,8,Urbano
545, ,1,56,2,17, ,No,315504.1103,Yes,F,Ensino Superior,Profissional,32.03180985,Pessoal,28740,1,Tesouro Direto,no,0,0,No,1,6,Urbano
549, ,0,40,1,13,79715.14895,Yes,0,No,F,Ensino Superior,Trabalho Administrativo,6.175902645,Pessoal,23140,10,Tesouro Direto,no,0,0,No,0,7,Urbano
551, ,0,51,0,12,40759.5277,No,186222.6265,No,M,Ensino Superior,Profissional,24.45160155,Pessoal,11880,1,Criptomoeda,no,0,0,No,0,8,Urbano
556, ,0,38,0,10,28409.28622,No,0,No,M,Ensino Medio,Trabalho Administrativo,27.12585569,Comercial,8140,10,Criptomoeda,yes,0,0,No,1,7,Rural
557, ,0,27,3,9,69793.55832,Yes,0,No,F,Ensino Superior,Profissional,24.29743928,Pessoal,14660,4,CDB,no,2848,1,No,3,6,Urbano
559, ,1,42,2,15,85408.05815,No,274402.4263,Yes,F,Ensino Medio,Trabalho Manual,32.31676807,Comercial,20170,10,Tesouro Direto,no,697,2,No,0,8,Urbano
560, ,0,55,0,11,3864.526575,No,0,No,F,Ensino Fundamental,Do Lar,26.64660882,Pessoal,16600,1,CDB,no,6089,2,Yes,0,1,Urbano
566, ,0,43,0,7,58111.63746,No,0,No,M,Ensino Superior,Trabalho Administrativo,33.8699636,Pessoal,1500,4,Tesouro Direto,yes,0,0,No,2,11,Rural
569, ,0,54,0,12,65298.10939,No,213225.4448,Yes,F,Ensino Medio,Trabalho Administrativo,5,Pessoal,8030,17,CDB,no,4528,3,No,5,1,Urbano
573, ,1,37,2,9,54349.13728,No,212419.3155,Yes,F,Ensino Medio,Gerente,27.80114355,Pessoal,10630,13,CDB,no,1381,1,No,4,11,Urbano
578, ,0,44,0,12, ,No,0,No,F,Ensino Medio,Trabalho Manual,31.83570883,Comercial,10770,1,CDB,no,0,0,No,2,8,Urbano
579, ,0,44,2,7,20323.6623,No,147037.6219,Yes,F,Ensino Medio,Trabalho Administrativo,20.17605286,Pessoal,10280,1,Renda Fixa,no,0,0,No,0,1,Rural
582, ,2,37,3,11,159091.8094,No,382687.2743,Yes,M,Ensino Superior,Trabalho Manual,28.67776614,Pessoal,15050,6,Tesouro Direto,yes,1927,3,No,0,8,Rural
596, ,0,31,2,0,0,No,0,Yes,F,Ensino Fundamental,Estudante,47.99664159,Pessoal,7740,4,Renda Fixa,no,7323,1,No,7,1,Urbano
598, ,2,36,2,0,0,No,110346.2207,Yes,F,Ensino Medio,Do Lar,28.21485235,Pessoal,5100,4,Tesouro Direto,no,39425,3,Yes,1,9,Urbano
599, ,0,54,0,12,77266.71791,No,0,No,F,Ensino Superior,Gerente,13.58675491,Pessoal,14630,1,CDB,no,8395,2,No,0,9,Urbano
602, ,0,39,0,0,0,No,0,No,F,Ensino Medio,Estudante,52.64100623,Comercial,5500,1,Renda Fixa,no,0,0,No,0,8,Rural
605, ,1,57,2,0,0,No,0,Yes,M,Ensino Medio,Estudante,28.85954957,Pessoal,9240,1,Criptomoeda,yes,8336,2,Yes,5,1,Urbano
617, ,0,34,2,0,0,Yes,0,No,F,Ensino Medio,Estudante,22.31124137,Pessoal,11520,9,CDB,no,0,0,Yes,0,9,Urbano
619, ,0,48,0,10,7302.3125,No, ,No,F,Ensino Fundamental,Estudante,27.48940381,Pessoal,7030,10,CDB,no,3564,1,No,3,1,Urbano
630, ,0,52,0,15,88690.94823,No,279497.1876,Yes,M,Ensino Superior,Trabalho Manual,40.48625172,Pessoal,18200,4,Poupanca,yes,1261,4,No,2,10,Urbano
634, ,1,58,2,17,3271.592449,No,0,Yes,M,Ensino Fundamental,Estudante,42.05624653,Pessoal,7200,1,Tesouro Direto,yes,5086,2,No,2,5,Urbano
643, ,0,45,0,14,65465.81942,No,212677.2262,Yes,M,Ensino Medio,Trabalho Manual,23.990476,Comercial,7080,3,Criptomoeda,no,0,0,No,2,1,Urbano
645, ,0,72,0,16,63889.85805,No,256796.5964,Yes,F,Mestrado,Advogado,41.21658017,Pessoal,9100,7,Renda Fixa,no,4448,3,No,0,6,Urbano
647, ,0,48,0,8,43074.99845,No,175858.2791,Yes,F,Ensino Medio,Gerente,51.89203555,Pessoal,13970,4,CDB,no,5878,2,No,3,11,Urbano
649, ,0,49,0,9,90657.82536,No,276028.0116,No,F,Ensino Superior,Trabalho Manual,7.342292256,Comercial,12350,13,Tesouro Direto,no,0,0,No,0,7,Urbano
656, ,0,57,0,14,200771.9243,No,465303.6878,No,F,PhD,Medico,26.99287643,Pessoal,9270,1,CDB,no,0,0,No,0, ,Urbano
657, ,0,22,0, ,36820.75081,No,193948.1428,No,F,Mestrado, ,22.53726724,Pessoal,29390,6,Criptomoeda,no,8502,2,No,0,20,Urbano
658, ,0,53,0,13,108743.6076,No,333038.7556,Yes,M,Mestrado, ,5,Comercial,5430,1,Criptomoeda,yes,3267,1,No,0, ,Urbano
667, ,0,50,0,14,30795.23397,No,174777.7895,Yes,M,Ensino Medio,Trabalho Administrativo,53.07788315,Comercial,8920,6,Criptomoeda,yes,0,0,No,0,1,Rural
692, ,0,59,0,12,155409.6551,No,422815.0973,Yes,M,Ensino Superior,Gerente,40.12660307,Comercial,33330,7,Renda Variavel,yes,4765,3,No,4,10,Urbano
693, ,0,33,3,7, ,No,147326.1675,Yes,F,Ensino Fundamental,Trabalho Manual,38.23851988,Pessoal,22520,5,Tesouro Direto,no,3075,1,No,6,1,Urbano
698, ,0,48,0,11,26874.78534,No,0,No,M,Ensino Medio,Trabalho Administrativo,18.28520724,Comercial,10450,1,Criptomoeda,no,3830,1,No,8,6,Urbano
699, ,1,42,3,11,99268.97416,Yes,306012.4914,No,M,Ensino Superior,Profissional,34.28536254,Comercial,25910,7,Renda Variavel,yes,45894,2,Yes,1,10,Urbano
700, ,0,50,0,11,102262.3231,No,0,No,M,Ensino Medio,Trabalho Manual,38.92888419,Comercial,16730,14,Poupanca,yes,0,0,No,0,8,Rural
704, ,0,53,0,2,13752.60814,No,0,No,F,Ensino Fundamental,Do Lar,48.75877549,Pessoal,2880,4,Renda Fixa,no,0,0,No,1, ,Rural
707, ,0,49,0,9,60368.03587,No,170643.1312,Yes,M,Ensino Superior,Gerente,16.09953519,Pessoal,6400,4,Criptomoeda,no,0,0,No,0,4,Urbano
708, ,0,21,1,8,18483.38293,Yes,0,No,F,Ensino Medio,Trabalho Administrativo,20.27389523,Pessoal,8150,1,Renda Fixa,no,7781,2,No,3,1,Urbano
709, ,0,50,0,9,58628.33334,No,0,No,M,Mestrado,Advogado,14.47025567,Pessoal,12360,1,Tesouro Direto,yes,0,0,No,0,15,Urbano
713, ,0,53,0,0,0,No,105084.9514,Yes,M,Mestrado,Do Lar,30.95893139,Pessoal,6800,11,Criptomoeda,yes,0,0,No,0,14,Urbano
714, ,0,49,0,2,81280.03669,No,241420.0932,Yes,M,Ensino Superior,Profissional,24.43182079,Pessoal,14530,1,Tesouro Direto,no,0,0,No,0,6,Urbano
716, ,1,38,2,13,38316.92875,No,125157.4153,Yes,F,PhD,Medico,44.46762623,Pessoal,1500,1,Renda Fixa,no,2896,1,No,8,8,Urbano
718, ,0,53,0,11,70025.81488,No,0,No,F,Mestrado,Advogado,39.48608614,Pessoal,18780,10,Criptomoeda,no,0,0,No,0,11,Urbano
722, ,0,49,0,8, ,No,0,No,M,Mestrado,Advogado,25.60823024,Pessoal,12910,4,Tesouro Direto,no,0,0,No,0,17,Urbano
729, ,0,48,0,8,134140.038,No,0,No,M,PhD,Gerente,34.09664019,Comercial,30240,1,Renda Variavel,no,7478,2,No,6,13,Urbano
731, ,0,53,0,13, ,No,499432.5138,Yes,M,PhD,Medico,26.03765871,Pessoal,14610,6,Tesouro Direto,no,0,0,No,0,5,Urbano
733, ,0,51,0,4,72453.47044,No,0,No,F,PhD,Medico,51.73299202,Pessoal,13850,1,CDB,no,2847,4,No,7,15,Urbano
746, ,2,37,2,5, ,No,235986.6193,Yes,M,Ensino Superior,Trabalho Administrativo,49.7121245,Pessoal,11270,1,Tesouro Direto,yes,0,0,No,3,1,Urbano
747, ,0,26,3,13,14821.66356,Yes, ,No,F,Ensino Fundamental,Trabalho Administrativo,5,Pessoal,8830,10,Renda Fixa,no,7486,3,No,9,1,Urbano
748, ,0,47,0,0,0,No,56265.91327,Yes,F,Ensino Superior,Do Lar,31.96811614,Pessoal,6200,1,CDB,no,0,0,Yes,0,1,Urbano
753, ,0,48,0,13,78966.26737,No,0,No,F,Ensino Superior,Profissional,39.48358821,Pessoal,21420,6,Renda Fixa,no,0,0,No,3,8,Urbano
757, ,0,51,0,13,51513.30764,No,0,No,M,Mestrado,Advogado,42.02613305,Pessoal,6650,4,Tesouro Direto,no,33388,2,Yes,4,17,Urbano
763, ,0,33,0,11, ,No,122915.9316,No,F,Ensino Medio,Do Lar,46.81004243,Pessoal,12400,20,Tesouro Direto,no,5531,2,No,6,1,Rural
767, ,0,58,0,12,69282.45244,No,295989.0468,Yes,M,Ensino Superior,Profissional,46.52111414,Pessoal,10520,6,Criptomoeda,no,1142,1,No,0,13,Urbano
774, ,0,30,0,10,27803.49756,No,0,No,F,Ensino Medio,Trabalho Administrativo,41.49297936,Pessoal,7280,4,Tesouro Direto,no,6322,2,No,5,8,Urbano
776, ,0,50,0,8,34610.91223,No,0,No,F,Ensino Medio,Trabalho Administrativo,47.08521146,Pessoal,12760,1,Tesouro Direto,no,3908,2,No,4,8,Urbano
