"","Id_Cliente","Idade","Escolaridade","Trabalho","Salario","Previsao_Risco"
"25",120,43,"Ensino Superior","Do Lar",0,"Baixo Risco"
"26",123,64,"Ensino Fundamental","Trabalho Manual",31738.35627,"Alto Risco"
"27",125,60,"PhD","Advogado",125893.4368,"Alto Risco"
"28",126,35,"Ensino Superior","Trabalho Manual",154577.4032,"Alto Risco"
"29",128,52,"Ensino Medio","Gerente",79348.03556,"Baixo Risco"
"30",129,56,"PhD","Medico",192089.0549,"Baixo Risco"
"31",131,55,"Mestrado","Gerente",108152.2759,"Baixo Risco"
"32",135,26,"Ensino Superior","Profissional",53244.41283,"Baixo Risco"
"33",141,52,"Mestrado","Advogado",88560.18462,"Baixo Risco"
"34",147,41,"Mestrado","Advogado",110386.4044,"Baixo Risco"
"35",148,49,"Ensino Superior","Profissional",53765.13057,"Baixo Risco"
"36",151,30,"Ensino Medio","Trabalho Administrativo",26226.38648,"Baixo Risco"
"37",156,34,"Ensino Fundamental","Trabalho Administrativo",29431.47584,"Baixo Risco"
"38",157,44,"Mestrado","Trabalho Manual",44789.51132,"Alto Risco"
"39",174,49,"Mestrado","Advogado",38325.52827,"Baixo Risco"
"40",186,40,"Ensino Fundamental","Trabalho Manual",35259.62782,"Alto Risco"
"41",193,26,"Ensino Superior","Trabalho Manual",33283.09242,"Alto Risco"
"42",195,46,"Ensino Fundamental","Trabalho Administrativo",26696.63089,"Alto Risco"
"43",212,50,"Mestrado","Advogado",73307.59782,"Baixo Risco"
"44",213,62,"Ensino Medio","Trabalho Administrativo",22181.48424,"Alto Risco"
"45",217,53,"Ensino Superior","Profissional",52759.21505,"Baixo Risco"
"46",223,44,"Mestrado","Advogado",146267.474,"Baixo Risco"
"47",226,48,"Ensino Superior","Gerente",84629.34879,"Baixo Risco"
"48",228,45,"Mestrado","Advogado",111268.3117,"Baixo Risco"
"49",230,41,"Ensino Superior","Do Lar",97700.0411,"Baixo Risco"
"50",241,32,"Ensino Medio","Trabalho Administrativo",30955.01786,"Alto Risco"
"51",243,49,"Mestrado","Profissional",89611.6008,"Baixo Risco"
"52",249,41,"Ensino Superior","Profissional",80718.25714,"Alto Risco"
"53",281,44,"Ensino Medio","Trabalho Manual",46140.2083,"Alto Risco"
"54",288,47,"Mestrado","Gerente",80104.66242,"Baixo Risco"
"55",294,41,"Ensino Fundamental","Estudante",6300,"Alto Risco"
"56",295,41,"Ensino Superior","Trabalho Manual",78675.25896,"Baixo Risco"
"57",300,50,"PhD","Medico",219023.5936,"Alto Risco"
"58",302,51,"Mestrado","Advogado",55572.99357,"Alto Risco"
"59",303,53,"PhD","Medico",61862.28372,"Baixo Risco"
"60",308,32,"Ensino Fundamental","Trabalho Manual",21943.94258,"Alto Risco"
"61",319,48,"Mestrado","Advogado",42008.36144,"Baixo Risco"
"62",320,54,"Mestrado","Gerente",90149.23034,"Baixo Risco"
"63",324,55,"Mestrado","Profissional",75248.86898,"Baixo Risco"
"64",331,51,"Mestrado","Gerente",117016.2252,"Baixo Risco"
"65",343,47,"Ensino Superior","Profissional",76461.86176,"Baixo Risco"
"66",347,44,"Mestrado","Do Lar",0,"Baixo Risco"
"67",348,36,"Ensino Medio","Trabalho Manual",20891.37315,"Alto Risco"
"68",350,35,"Ensino Fundamental","Trabalho Administrativo",17492.76645,"Alto Risco"
"69",357,43,"Mestrado","Advogado",39848.4212,"Baixo Risco"
"70",358,42,"Ensino Superior","Trabalho Manual",117978.0655,"Baixo Risco"
"71",360,56,"Ensino Superior","Gerente",62483.49945,"Baixo Risco"
"72",366,39,"Ensino Superior","Profissional",73366.56803,"Baixo Risco"
"73",367,32,"Ensino Fundamental","Estudante",4478.341531,"Alto Risco"
"74",368,44,"Ensino Superior","Estudante",5952.492358,"Alto Risco"
"75",376,44,"Ensino Medio","Trabalho Manual",75045.62077,"Alto Risco"
"76",380,38,"Ensino Superior","Gerente",75431.95723,"Baixo Risco"
"77",388,35,"Ensino Fundamental","Trabalho Administrativo",64871.66587,"Baixo Risco"
"78",396,55,"Mestrado","Advogado",66964.19737,"Baixo Risco"
"79",398,42,"Ensino Medio","Trabalho Administrativo",34210.31233,"Baixo Risco"
"80",403,43,"Ensino Fundamental","Trabalho Manual",24123.70335,"Baixo Risco"
"81",410,44,"Ensino Medio","Trabalho Manual",39851.86792,"Alto Risco"
"82",412,51,"Mestrado","Advogado",65702.14547,"Alto Risco"
"83",420,34,"Ensino Superior","Trabalho Administrativo",68833.21531,"Alto Risco"
"84",434,40,"Ensino Fundamental","Trabalho Manual",54158.61036,"Baixo Risco"
"85",440,37,"Ensino Medio","Estudante",6216.775779,"Alto Risco"
"86",450,58,"Ensino Fundamental","Trabalho Manual",39707.32138,"Alto Risco"
"87",453,50,"Ensino Fundamental","Trabalho Manual",24358.07866,"Baixo Risco"
"88",464,46,"Mestrado","Advogado",106408.5956,"Baixo Risco"
"89",465,53,"PhD","Medico",59796.52898,"Baixo Risco"
"90",466,63,"Ensino Medio","Trabalho Manual",52064.1845,"Alto Risco"
"91",473,53,"PhD","Medico",77012.02905,"Baixo Risco"
"92",476,36,"Ensino Medio","Estudante",17084.96161,"Baixo Risco"
"93",478,43,"Mestrado","Medico",238855.8995,"Baixo Risco"
"94",479,54,"Ensino Superior","Gerente",69624.96353,"Baixo Risco"
"95",493,39,"Ensino Medio","Trabalho Administrativo",42535.15113,"Baixo Risco"
"96",497,43,"Ensino Superior","Gerente",81673.63903,"Baixo Risco"
"97",503,51,"Ensino Superior","Profissional",34658.46741,"Baixo Risco"
"98",504,42,"Ensino Medio","Do Lar",0,"Baixo Risco"
"99",505,41,"Mestrado","Gerente",86227.05116,"Baixo Risco"
"100",507,35,"Ensino Medio","Gerente",77126.3488,"Alto Risco"
"101",513,35,"Ensino Fundamental","Estudante",0,"Baixo Risco"
"102",519,41,"Ensino Medio","Trabalho Administrativo",30043.27905,"Baixo Risco"
"103",521,43,"Ensino Medio","Trabalho Administrativo",54931.68374,"Alto Risco"
"104",522,42,"Ensino Fundamental","Trabalho Manual",94591.18428,"Alto Risco"
"105",545,56,"Ensino Superior","Profissional",76000,"Baixo Risco"
"106",549,40,"Ensino Superior","Trabalho Administrativo",79715.14895,"Baixo Risco"
"107",551,51,"Ensino Superior","Profissional",40759.5277,"Baixo Risco"
"108",556,38,"Ensino Medio","Trabalho Administrativo",28409.28622,"Baixo Risco"
"109",557,27,"Ensino Superior","Profissional",69793.55832,"Alto Risco"
"110",559,42,"Ensino Medio","Trabalho Manual",85408.05815,"Baixo Risco"
"111",560,55,"Ensino Fundamental","Do Lar",3864.526575,"Alto Risco"
"112",566,43,"Ensino Superior","Trabalho Administrativo",58111.63746,"Baixo Risco"
"113",569,54,"Ensino Medio","Trabalho Administrativo",65298.10939,"Alto Risco"
"114",573,37,"Ensino Medio","Gerente",54349.13728,"Alto Risco"
"115",578,44,"Ensino Medio","Trabalho Manual",58000,"Alto Risco"
"116",579,44,"Ensino Medio","Trabalho Administrativo",20323.6623,"Baixo Risco"
"117",582,37,"Ensino Superior","Trabalho Manual",159091.8094,"Baixo Risco"
"118",596,31,"Ensino Fundamental","Estudante",0,"Alto Risco"
"119",598,36,"Ensino Medio","Do Lar",0,"Alto Risco"
"120",599,54,"Ensino Superior","Gerente",77266.71791,"Baixo Risco"
"121",602,39,"Ensino Medio","Estudante",0,"Baixo Risco"
"122",605,57,"Ensino Medio","Estudante",0,"Alto Risco"
"123",617,34,"Ensino Medio","Estudante",0,"Alto Risco"
"124",619,48,"Ensino Fundamental","Estudante",7302.3125,"Alto Risco"
"125",630,52,"Ensino Superior","Trabalho Manual",88690.94823,"Baixo Risco"
"126",634,58,"Ensino Fundamental","Estudante",3271.592449,"Baixo Risco"
"127",643,45,"Ensino Medio","Trabalho Manual",65465.81942,"Alto Risco"
"128",645,72,"Mestrado","Advogado",63889.85805,"Baixo Risco"
"129",647,48,"Ensino Medio","Gerente",43074.99845,"Baixo Risco"
"130",649,49,"Ensino Superior","Trabalho Manual",90657.82536,"Baixo Risco"
"131",656,57,"PhD","Medico",200771.9243,"Baixo Risco"
"132",657,22,"Mestrado","Trabalho Manual",36820.75081,"Baixo Risco"
"133",658,53,"Mestrado","Advogado",108743.6076,"Baixo Risco"
"134",667,50,"Ensino Medio","Trabalho Administrativo",30795.23397,"Baixo Risco"
"135",692,59,"Ensino Superior","Gerente",155409.6551,"Baixo Risco"
"136",693,33,"Ensino Fundamental","Trabalho Manual",58000,"Baixo Risco"
"137",698,48,"Ensino Medio","Trabalho Administrativo",26874.78534,"Alto Risco"
"138",699,42,"Ensino Superior","Profissional",99268.97416,"Alto Risco"
"139",700,50,"Ensino Medio","Trabalho Manual",102262.3231,"Baixo Risco"
"140",704,53,"Ensino Fundamental","Do Lar",13752.60814,"Baixo Risco"
"141",707,49,"Ensino Superior","Gerente",60368.03587,"Baixo Risco"
"142",708,21,"Ensino Medio","Trabalho Administrativo",18483.38293,"Alto Risco"
"143",709,50,"Mestrado","Advogado",58628.33334,"Baixo Risco"
"144",713,53,"Mestrado","Do Lar",0,"Baixo Risco"
"145",714,49,"Ensino Superior","Profissional",81280.03669,"Baixo Risco"
"146",716,38,"PhD","Medico",38316.92875,"Alto Risco"
"147",718,53,"Mestrado","Advogado",70025.81488,"Baixo Risco"
"148",722,49,"Mestrado","Advogado",88000,"Baixo Risco"
"149",729,48,"PhD","Gerente",134140.038,"Alto Risco"
"150",731,53,"PhD","Medico",128000,"Baixo Risco"
"151",733,51,"PhD","Medico",72453.47044,"Alto Risco"
"152",746,37,"Ensino Superior","Trabalho Administrativo",33000,"Baixo Risco"
"153",747,26,"Ensino Fundamental","Trabalho Administrativo",14821.66356,"Alto Risco"
"154",748,47,"Ensino Superior","Do Lar",0,"Baixo Risco"
"155",753,48,"Ensino Superior","Profissional",78966.26737,"Baixo Risco"
"156",757,51,"Mestrado","Advogado",51513.30764,"Alto Risco"
"157",763,33,"Ensino Medio","Do Lar",12000,"Baixo Risco"
"158",767,58,"Ensino Superior","Profissional",69282.45244,"Baixo Risco"
"159",774,30,"Ensino Medio","Trabalho Administrativo",27803.49756,"Alto Risco"
"160",776,50,"Ensino Medio","Trabalho Administrativo",34610.91223,"Baixo Risco"
"161",788,47,"Ensino Superior","Profissional",55019.393,"Baixo Risco"
"162",794,42,"PhD","Gerente",200927.8358,"Baixo Risco"
"163",799,33,"Ensino Superior","Profissional",92059.54487,"Baixo Risco"
"164",803,36,"Ensino Medio","Gerente",48901.03192,"Baixo Risco"
"165",806,38,"Ensino Superior","Trabalho Administrativo",38211.5084,"Alto Risco"
"166",807,36,"Mestrado","Advogado",100095.2246,"Baixo Risco"
"167",811,56,"Ensino Superior","Trabalho Manual",42833.8695,"Baixo Risco"
"168",816,37,"Ensino Superior","Trabalho Manual",130123.1898,"Baixo Risco"
"169",818,57,"Ensino Medio","Do Lar",27280.60011,"Alto Risco"
"170",819,37,"Mestrado","Profissional",34621.78045,"Baixo Risco"
"171",831,38,"Ensino Fundamental","Trabalho Manual",57924.71321,"Baixo Risco"
"172",835,39,"Ensino Medio","Trabalho Administrativo",25846.2092,"Alto Risco"
"173",837,43,"Mestrado","Advogado",126496.3263,"Baixo Risco"
"174",841,41,"PhD","Medico",182781.5234,"Alto Risco"
"175",846,28,"Mestrado","Gerente",94675.1722,"Alto Risco"
"176",856,47,"Ensino Superior","Do Lar",0,"Baixo Risco"
"177",861,38,"Ensino Fundamental","Trabalho Administrativo",33000,"Alto Risco"
"178",862,53,"Ensino Superior","Trabalho Administrativo",27045.39277,"Alto Risco"
"179",863,48,"Ensino Medio","Trabalho Manual",75983.6294,"Alto Risco"
"180",865,48,"Ensino Medio","Trabalho Manual",88744.69597,"Alto Risco"
"181",871,44,"Ensino Medio","Trabalho Administrativo",26377.36834,"Alto Risco"
"182",879,54,"Ensino Superior","Profissional",73662.55442,"Alto Risco"
"183",880,55,"Ensino Superior","Trabalho Manual",87426.45692,"Baixo Risco"
"184",881,41,"Mestrado","Do Lar",10757.96822,"Alto Risco"
"185",885,57,"Mestrado","Medico",210810.7066,"Baixo Risco"
"186",887,48,"Ensino Superior","Profissional",75914.36986,"Baixo Risco"
"187",892,43,"PhD","Medico",90212.55667,"Baixo Risco"
"188",898,47,"Mestrado","Advogado",93657.61405,"Baixo Risco"
"189",900,55,"Ensino Medio","Trabalho Administrativo",34466.0018,"Baixo Risco"
"190",904,48,"PhD","Medico",173278.9621,"Baixo Risco"
"191",906,41,"Ensino Fundamental","Do Lar",0,"Alto Risco"
"192",910,42,"Ensino Fundamental","Trabalho Administrativo",28916.32386,"Alto Risco"
"193",912,32,"PhD","Trabalho Manual",54000,"Alto Risco"
"194",913,34,"Ensino Medio","Trabalho Administrativo",23439.10296,"Baixo Risco"
"195",919,46,"Ensino Superior","Profissional",68126.0269,"Baixo Risco"
"196",924,50,"Ensino Medio","Do Lar",0,"Baixo Risco"
"197",925,43,"Ensino Medio","Trabalho Administrativo",23920.92585,"Alto Risco"
"198",930,47,"Ensino Superior","Trabalho Manual",78953.0261,"Baixo Risco"
"199",940,46,"Mestrado","Advogado",107871.6403,"Baixo Risco"
"200",941,56,"Ensino Medio","Do Lar",13692.43353,"Baixo Risco"
"201",946,40,"Mestrado","Trabalho Administrativo",74116.89385,"Baixo Risco"
"202",949,38,"Ensino Superior","Trabalho Manual",71262.52014,"Baixo Risco"
"203",951,36,"Ensino Superior","Trabalho Manual",109631.0372,"Baixo Risco"
"204",962,30,"Ensino Medio","Trabalho Manual",37614.19631,"Baixo Risco"
"205",966,42,"Ensino Medio","Estudante",2763.167784,"Baixo Risco"
"206",967,54,"Ensino Superior","Profissional",91916.47797,"Baixo Risco"
"207",971,39,"Ensino Fundamental","Trabalho Administrativo",33000,"Alto Risco"
"208",981,54,"PhD","Trabalho Administrativo",94994.66313,"Baixo Risco"
"209",982,36,"Ensino Fundamental","Trabalho Administrativo",21873.28398,"Baixo Risco"
"210",983,48,"Mestrado","Gerente",92867.91488,"Baixo Risco"
"211",984,53,"PhD","Gerente",185290.7268,"Baixo Risco"
"212",989,48,"Ensino Superior","Trabalho Manual",59333.73932,"Baixo Risco"
"213",990,38,"Ensino Medio","Trabalho Administrativo",48207.11838,"Alto Risco"
"214",992,45,"Ensino Superior","Trabalho Manual",96708.36769,"Alto Risco"
"215",995,30,"Ensino Medio","Do Lar",0,"Baixo Risco"
"216",996,46,"Mestrado","Advogado",134751.724,"Baixo Risco"
"217",998,45,"Ensino Superior","Gerente",39032.45709,"Baixo Risco"
"218",1001,28,"Ensino Medio","Trabalho Administrativo",56943.3461,"Baixo Risco"
"219",1007,44,"Mestrado","Gerente",87189.70625,"Baixo Risco"
"220",1008,52,"PhD","Gerente",284897.8695,"Baixo Risco"
"221",1016,47,"Ensino Medio","Profissional",28653.56275,"Baixo Risco"
"222",1022,45,"Mestrado","Advogado",91897.61945,"Baixo Risco"
"223",1027,36,"Ensino Fundamental","Trabalho Manual",26011.02554,"Alto Risco"
"224",1032,39,"Ensino Superior","Profissional",107948.7928,"Alto Risco"
"225",1033,52,"Ensino Superior","Gerente",50725.75548,"Baixo Risco"
"226",1041,40,"Mestrado","Do Lar",4403.531133,"Baixo Risco"
"227",1065,31,"Ensino Medio","Trabalho Manual",35053.25249,"Alto Risco"
"228",1074,38,"Ensino Superior","Profissional",44575.28127,"Alto Risco"
"229",1075,47,"Ensino Fundamental","Trabalho Manual",30451.83247,"Baixo Risco"
"230",1081,39,"Ensino Superior","Trabalho Manual",28845.96624,"Baixo Risco"
"231",1094,48,"Mestrado","Advogado",144515.4829,"Baixo Risco"
"232",1099,45,"Ensino Superior","Estudante",0,"Baixo Risco"
"233",1105,41,"Ensino Superior","Trabalho Manual",97678.76062,"Alto Risco"
"234",1123,55,"PhD","Advogado",133965.5149,"Baixo Risco"
"235",1135,63,"Ensino Superior","Profissional",86078.21866,"Baixo Risco"
"236",1142,49,"Ensino Fundamental","Trabalho Manual",24512.51474,"Baixo Risco"
"237",1155,46,"Mestrado","Advogado",103454.9364,"Baixo Risco"
"238",1169,45,"Ensino Superior","Do Lar",19599.36547,"Baixo Risco"
"239",1176,46,"Mestrado","Gerente",107006.1799,"Baixo Risco"
"240",1178,53,"Ensino Superior","Trabalho Manual",80022.77588,"Alto Risco"
"241",1180,35,"Ensino Fundamental","Trabalho Administrativo",57241.06955,"Baixo Risco"
"242",1184,35,"Mestrado","Advogado",122149.6078,"Baixo Risco"
"243",1185,56,"Ensino Superior","Trabalho Administrativo",28087.50556,"Alto Risco"
"244",1193,40,"Mestrado","Trabalho Manual",49977.69026,"Baixo Risco"
"245",1196,51,"Ensino Superior","Profissional",94454.40102,"Baixo Risco"
"246",1199,48,"Ensino Fundamental","Estudante",0,"Alto Risco"
"247",1203,37,"Mestrado","Advogado",31724.91723,"Baixo Risco"
"248",1205,37,"Ensino Medio","Trabalho Administrativo",30843.14788,"Baixo Risco"
"249",1207,39,"Ensino Medio","Trabalho Administrativo",18274.38283,"Baixo Risco"
"250",1208,39,"Ensino Medio","Trabalho Administrativo",31130.51817,"Alto Risco"
"251",1212,37,"Ensino Medio","Do Lar",12000,"Alto Risco"
"252",1213,50,"Ensino Fundamental","Trabalho Manual",26748.31336,"Alto Risco"
"253",1222,57,"Ensino Superior","Profissional",53227.48149,"Baixo Risco"
"254",1223,45,"Ensino Superior","Trabalho Administrativo",55847.84377,"Baixo Risco"
"255",1226,55,"PhD","Do Lar",0,"Baixo Risco"
"256",1227,63,"PhD","Medico",51045.53761,"Baixo Risco"
"257",1229,47,"Ensino Medio","Trabalho Administrativo",33000,"Baixo Risco"
"258",1230,44,"Ensino Superior","Profissional",46781.22861,"Alto Risco"
"259",1231,54,"Ensino Superior","Estudante",0,"Baixo Risco"
"260",1241,43,"Ensino Medio","Trabalho Administrativo",28021.23506,"Baixo Risco"
"261",1243,49,"Ensino Medio","Trabalho Administrativo",23710.99388,"Baixo Risco"
"262",1244,39,"Ensino Medio","Gerente",49193.66509,"Baixo Risco"
"263",1246,58,"Mestrado","Advogado",61265.20466,"Baixo Risco"
"264",1248,41,"Ensino Medio","Profissional",76000,"Baixo Risco"
"265",1249,40,"Mestrado","Advogado",84505.52153,"Baixo Risco"
"266",1252,39,"Mestrado","Advogado",51090.77812,"Baixo Risco"
"267",1261,43,"Mestrado","Advogado",94641.49298,"Baixo Risco"
"268",1275,51,"Ensino Medio","Profissional",48262.9683,"Baixo Risco"
"269",1281,39,"Ensino Fundamental","Trabalho Administrativo",28829.57058,"Alto Risco"
"270",1285,23,"Ensino Fundamental","Trabalho Administrativo",11666.47834,"Baixo Risco"
"271",1288,50,"Ensino Medio","Trabalho Manual",62626.03774,"Alto Risco"
"272",1290,40,"Mestrado","Advogado",93249.33088,"Baixo Risco"
"273",1291,45,"Ensino Medio","Trabalho Administrativo",49115.5469,"Baixo Risco"
"274",1304,30,"Mestrado","Trabalho Manual",54000,"Alto Risco"
"275",1305,54,"Mestrado","Advogado",46623.94556,"Baixo Risco"
"276",1323,53,"PhD","Advogado",116418.7111,"Alto Risco"
"277",1342,45,"Mestrado","Advogado",88000,"Alto Risco"
"278",1348,29,"Ensino Fundamental","Estudante",15936.25721,"Baixo Risco"
"279",1353,29,"Ensino Medio","Trabalho Manual",45299.03628,"Baixo Risco"
"280",1363,48,"Ensino Medio","Profissional",49710.98678,"Baixo Risco"
"281",1371,45,"PhD","Medico",212913.7648,"Baixo Risco"
"282",1372,57,"PhD","Advogado",114829.9985,"Baixo Risco"
"283",1378,35,"Ensino Fundamental","Trabalho Administrativo",15234.30424,"Alto Risco"
"284",1381,34,"Ensino Medio","Trabalho Administrativo",31052.02497,"Baixo Risco"
"285",1382,50,"Ensino Superior","Estudante",0,"Alto Risco"
"286",1393,57,"Ensino Medio","Profissional",41645.4142,"Alto Risco"
"287",1394,54,"Ensino Superior","Trabalho Manual",77863.50936,"Baixo Risco"
"288",1398,65,"Ensino Medio","Trabalho Administrativo",22481.39335,"Baixo Risco"
"289",1404,44,"Mestrado","Profissional",62346.4785,"Alto Risco"
"290",1405,52,"Ensino Medio","Trabalho Manual",81849.03033,"Alto Risco"
"291",1419,62,"Mestrado","Advogado",54775.51572,"Baixo Risco"
"292",1421,46,"Ensino Medio","Estudante",19814.3408,"Baixo Risco"
"293",1426,38,"Ensino Fundamental","Estudante",0,"Baixo Risco"
"294",1431,38,"Ensino Medio","Trabalho Administrativo",22035.59493,"Alto Risco"
"295",1435,44,"Mestrado","Advogado",155896.542,"Baixo Risco"
"296",1437,37,"Ensino Fundamental","Trabalho Administrativo",17588.81455,"Baixo Risco"
"297",1438,57,"Ensino Superior","Trabalho Manual",68349.96401,"Baixo Risco"
"298",1442,45,"Ensino Medio","Profissional",39196.1294,"Alto Risco"
"299",1464,53,"PhD","Gerente",59143.63019,"Baixo Risco"
"300",1471,42,"PhD","Gerente",139335.3031,"Alto Risco"
"301",1473,46,"Ensino Medio","Trabalho Manual",45372.16363,"Baixo Risco"
"302",1476,49,"Ensino Superior","Do Lar",0,"Baixo Risco"
"303",1478,50,"Ensino Medio","Trabalho Manual",40447.11863,"Baixo Risco"
"304",1479,44,"Mestrado","Gerente",68080.7386,"Alto Risco"
"305",1487,41,"Ensino Fundamental","Estudante",2345.997106,"Baixo Risco"
"306",1492,42,"Ensino Superior","Estudante",0,"Alto Risco"
"307",1496,50,"Mestrado","Advogado",126171.5551,"Baixo Risco"
"308",1497,43,"Ensino Fundamental","Do Lar",0,"Baixo Risco"
"309",1515,48,"Ensino Medio","Trabalho Manual",80756.03659,"Baixo Risco"
"310",1519,44,"PhD","Advogado",18612.35699,"Baixo Risco"
"311",1522,36,"Ensino Medio","Trabalho Administrativo",19934.32311,"Alto Risco"
"312",1526,37,"Ensino Medio","Do Lar",0,"Baixo Risco"
"313",1537,58,"Ensino Superior","Profissional",56383.25256,"Baixo Risco"
"314",1538,38,"Ensino Medio","Trabalho Administrativo",30886.41888,"Alto Risco"
"315",1540,53,"Ensino Medio","Trabalho Manual",107394.3242,"Baixo Risco"
"316",1543,39,"Mestrado","Advogado",59401.98915,"Baixo Risco"
"317",1548,67,"Ensino Superior","Profissional",45368.14952,"Baixo Risco"
"318",1549,36,"Ensino Fundamental","Trabalho Administrativo",15492.73358,"Baixo Risco"
"319",1556,35,"Ensino Medio","Profissional",51996.07948,"Alto Risco"
"320",1564,41,"Ensino Superior","Trabalho Manual",89968.15681,"Baixo Risco"
"321",1570,25,"PhD","Trabalho Administrativo",64122.24572,"Baixo Risco"
"322",1577,36,"Ensino Medio","Trabalho Administrativo",20926.37451,"Alto Risco"
"323",1585,51,"Ensino Superior","Gerente",54197.01083,"Alto Risco"
"324",1590,48,"Mestrado","Trabalho Manual",58038.55311,"Baixo Risco"
"325",1592,48,"Ensino Medio","Trabalho Administrativo",53878.09698,"Alto Risco"
"326",1594,38,"Mestrado","Advogado",62756.0868,"Alto Risco"
"327",1596,49,"Ensino Superior","Estudante",6300,"Alto Risco"
"328",1598,44,"Mestrado","Advogado",88000,"Baixo Risco"
"329",1603,33,"Ensino Medio","Trabalho Manual",45680.27784,"Baixo Risco"
"330",1607,59,"Ensino Superior","Trabalho Manual",131918.552,"Baixo Risco"
"331",1612,50,"Ensino Superior","Profissional",76000,"Baixo Risco"
"332",1627,49,"Ensino Fundamental","Trabalho Manual",58000,"Baixo Risco"
"333",1629,47,"Ensino Medio","Trabalho Manual",25871.21517,"Alto Risco"
"334",1630,50,"Ensino Fundamental","Trabalho Administrativo",15989.15948,"Baixo Risco"
"335",1640,48,"Ensino Superior","Gerente",105567.2956,"Alto Risco"
"336",1641,39,"Ensino Superior","Profissional",92000.47938,"Baixo Risco"
"337",1646,50,"Mestrado","Advogado",88000,"Baixo Risco"
"338",1662,47,"Ensino Medio","Profissional",45237.1532,"Alto Risco"
"339",1668,57,"Mestrado","Advogado",101398.5187,"Baixo Risco"
"340",1671,55,"Ensino Superior","Do Lar",8683.942674,"Baixo Risco"
"341",1672,42,"Ensino Superior","Trabalho Manual",85819.42589,"Alto Risco"
"342",1673,23,"Ensino Medio","Trabalho Manual",5366.980645,"Alto Risco"
"343",1686,41,"Ensino Medio","Do Lar",1952.851324,"Alto Risco"
"344",1688,51,"Ensino Medio","Do Lar",0,"Alto Risco"
"345",1696,32,"PhD","Advogado",143195.0334,"Baixo Risco"
"346",1701,41,"Ensino Medio","Trabalho Administrativo",19113.77943,"Baixo Risco"
"347",1707,58,"Ensino Superior","Profissional",67608.23406,"Baixo Risco"
"348",1708,59,"PhD","Medico",198042.0546,"Baixo Risco"
"349",1713,38,"Ensino Medio","Trabalho Administrativo",17028.39452,"Baixo Risco"
"350",1715,66,"PhD","Advogado",88979.30228,"Baixo Risco"
"351",1717,29,"Ensino Fundamental","Trabalho Manual",31850.16439,"Baixo Risco"
"352",1721,43,"Ensino Medio","Trabalho Manual",38430.47661,"Baixo Risco"
"353",1724,36,"Ensino Fundamental","Estudante",0,"Alto Risco"
"354",1725,39,"Ensino Superior","Profissional",71308.98193,"Alto Risco"
"355",1730,42,"Ensino Medio","Do Lar",0,"Baixo Risco"
"356",1731,56,"Ensino Medio","Estudante",277.9898343,"Alto Risco"
"357",1734,47,"Ensino Superior","Trabalho Administrativo",21062.59608,"Baixo Risco"
"358",1740,52,"PhD","Advogado",112480.7329,"Baixo Risco"
"359",1748,58,"PhD","Medico",119035.3301,"Baixo Risco"
"360",1749,49,"Mestrado","Advogado",75310.5773,"Baixo Risco"
"361",1750,33,"Ensino Medio","Trabalho Manual",77718.53885,"Alto Risco"
"362",1763,42,"Ensino Superior","Trabalho Administrativo",50949.21262,"Baixo Risco"
"363",1768,57,"PhD","Advogado",130830.9691,"Baixo Risco"
"364",1773,37,"Ensino Fundamental","Trabalho Administrativo",16237.86056,"Alto Risco"
"365",1777,52,"PhD","Medico",176305.2507,"Baixo Risco"
